Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
125,tt1670345,2021-05-11,2021-05-11,,Now You See Me,https://www.imdb.com/title/tt1670345/,movie,7.3,115,2013,"Crime, Mystery, Thriller",604715,2013-05-21,Louis Leterrier,,
126,tt3118452,2021-05-11,2021-05-11,,Circle,https://www.imdb.com/title/tt3118452/,movie,6.0,87,2015,"Drama, Horror, Mystery, Sci-Fi, Thriller",46877,2015-05-28,"Mario Miscione, Aaron Hann",,
127,tt0213847,2021-05-11,2021-05-11,,Malèna,https://www.imdb.com/title/tt0213847/,movie,7.5,108,2000,"Comedy, Drama, Romance, War",92376,2000-10-26,Giuseppe Tornatore,,
128,tt0373051,2021-05-11,2021-05-11,,Journey to the Center of the Earth,https://www.imdb.com/title/tt0373051/,movie,5.8,93,2008,"Action, Adventure, Family, Fantasy, Sci-Fi",115048,2008-07-10,Eric Brevig,,
129,tt3170832,2021-05-11,2021-05-11,,Room,https://www.imdb.com/title/tt3170832/,movie,8.1,118,2015,"Drama, Thriller",380847,2015-09-04,Lenny Abrahamson,,
130,tt5886046,2021-05-11,2021-05-11,,Escape Room,https://www.imdb.com/title/tt5886046/,movie,6.4,99,2019,"Action, Adventure, Horror, Mystery, Thriller",92261,2019-01-03,Adam Robitel,,
131,tt0402901,2021-05-11,2021-05-11,,The Cave,https://www.imdb.com/title/tt0402901/,movie,5.1,97,2005,"Action, Adventure, Horror, Sci-Fi, Thriller",35934,2005-08-26,Bruce Hunt,,
132,tt2025690,2021-05-11,2021-05-11,,The Finest Hours,https://www.imdb.com/title/tt2025690/,movie,6.8,117,2016,"Action, Drama, History, Thriller",62856,2016-01-27,Craig Gillespie,,
133,tt0480249,2021-05-11,2021-05-11,,I Am Legend,https://www.imdb.com/title/tt0480249/,movie,7.2,101,2007,"Action, Adventure, Drama, Sci-Fi, Thriller",696410,2007-12-05,Francis Lawrence,,
134,tt0452702,2021-05-11,2021-05-11,,Vacancy,https://www.imdb.com/title/tt0452702/,movie,6.2,85,2007,"Horror, Thriller",95308,2007-04-20,Nimród Antal,,
